time,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z
0.801370000,-0.53794,-0.17038,0.08706,1.60812,-0.24082,-0.41309
0.804021000,-0.53368,-0.17102,0.08597,1.60812,-0.24082,-0.41309
0.806684000,-0.52940,-0.17166,0.08487,1.60812,-0.24082,-0.41309
0.809335000,-0.52514,-0.17230,0.08377,1.60812,-0.24082,-0.41309
0.811987000,-0.52199,-0.17394,0.08312,1.18812,-0.61707,-0.24684
0.814636000,-0.51884,-0.17557,0.08246,1.18812,-0.61707,-0.24684
0.817297000,-0.51568,-0.17721,0.08181,1.18812,-0.61707,-0.24684
0.819948000,-0.51253,-0.17885,0.08115,1.18812,-0.61707,-0.24684
0.822600000,-0.51400,-0.18041,0.08233,-0.55313,-0.59082,0.44441
0.825248000,-0.51546,-0.18198,0.08351,-0.55313,-0.59082,0.44441
0.827908000,-0.51693,-0.18355,0.08469,-0.55313,-0.59082,0.44441
0.830555000,-0.51840,-0.18511,0.08586,-0.55313,-0.59082,0.44441
0.833207000,-0.52255,-0.18607,0.08853,-1.56813,-0.36332,1.00441
0.835870000,-0.52673,-0.18704,0.09120,-1.56813,-0.36332,1.00441
0.838558000,-0.53094,-0.18802,0.09390,-1.56813,-0.36332,1.00441
0.841208000,-0.53510,-0.18898,0.09693,-1.56813,-0.36332,1.14441
0.843863000,-0.53967,-0.19001,0.09997,-1.72563,-0.38957,1.14441
0.846519000,-0.54425,-0.19105,0.10300,-1.72563,-0.38957,1.14441
0.849176000,-0.54884,-0.19208,0.10604,-1.72563,-0.38957,1.14441
0.851914000,-0.55356,-0.19315,0.10862,-1.72563,-0.38957,0.94316
0.854568000,-0.55605,-0.19414,0.11113,-0.93813,-0.37207,0.94316
0.857315000,-0.55861,-0.19515,0.11370,-0.93813,-0.37207,0.94316
0.859981000,-0.56113,-0.19615,0.11623,-0.93813,-0.37207,0.94316
0.862629000,-0.56361,-0.19713,0.11541,-0.93813,-0.37207,-0.30809
0.865296000,-0.56126,-0.19810,0.11459,0.88187,-0.36332,-0.30809
0.867956000,-0.55892,-0.19907,0.11377,0.88187,-0.36332,-0.30809
0.870606000,-0.55658,-0.20003,0.11296,0.88187,-0.36332,-0.30809
0.873255000,-0.55424,-0.20143,0.11515,0.88187,-0.52957,0.82941
0.875938000,-0.55288,-0.20284,0.11735,0.51437,-0.52957,0.82941
0.878610000,-0.55150,-0.20426,0.11958,0.51437,-0.52957,0.82941
0.881265000,-0.55013,-0.20567,0.12180,0.51437,-0.52957,0.82941
0.883918000,-0.54876,-0.20615,0.12854,0.51437,-0.17957,2.54441
0.886555000,-0.56030,-0.20662,0.13525,-4.37688,-0.17957,2.54441
0.889107000,-0.57147,-0.20708,0.14174,-4.37688,-0.17957,2.54441
0.891659000,-0.58263,-0.20754,0.14823,-4.37688,-0.17957,2.54441
0.894210000,-0.59380,-0.20800,0.14879,-4.37688,-0.17957,0.21691
0.896798000,-0.59736,-0.20923,0.14935,-1.37563,-0.47707,0.21691
0.899451000,-0.60101,-0.21050,0.14992,-1.37563,-0.47707,0.21691
0.902103000,-0.60465,-0.21176,0.15050,-1.37563,-0.47707,0.21691
0.904755000,-0.60830,-0.21303,0.15282,-1.37563,-0.47707,0.87316
0.907414000,-0.61681,-0.21274,0.15513,-3.20438,0.10918,0.87316
0.910070000,-0.62532,-0.21245,0.15745,-3.20438,0.10918,0.87316
0.912718000,-0.63381,-0.21216,0.15976,-3.20438,0.10918,0.87316
